Old Order Id,What is wrong,Magento Sku/eCodes_ID,gp_sku/product_sk,
 1011347-81113835,Cannot find PD-W-CT-P-2005-000003,,,
 1011617-73068657,Cannot find PD-W-FL-P-2004-000011,,,
 1011623-45836274,Cannot find PD-W-CT-P-2005-000003,,,
 1012056-39252315,Cannot find PD-M-CT-P-2005-000003,,,
 1012291-24386958,Cannot find PD-W-PR-P-2006-000007,,,
 1013445-92274676,gpsku empty,IC-P-2009-000001,8700S09,
 1014687-80329685,gpsku empty,IC-P-2009-000002,8710S09,
 1014946-64778574,Cannot find PD-W-CT-P-2005-000003,,,
 1015183-75621949,gpsku empty,IC-P-2009-000014,8780S09,
 1015578-94462994,Cannot find PD-W-CT-P-2005-000003,,,
 1015579-94462994,Cannot find PD-W-CT-P-2005-000003,,,
 1015621-51104967,Cannot find PD-W-CT-P-2005-000003,,,
 1015971-70162931,Cannot find 5-PD-W-IC-P-2009-000003,,,
 1016450-19581562,Cannot find PD-W-FL-P-2004-000016,,,
 1016487-60863592,Cannot find PD-W-PR-P-2003-0000007,,,
 1016680-62240776,Cannot find PD-W-FL-P-2004-000011,,,
 1016717-80111935,gpsku empty,CC-P-2006-000003,874S06,
 1016781-63715740,Cannot find PD-W-PR-P-2006-000007,,,
 1016917-97540714,Cannot find PD-M-FL-P-2004-000016,,,
 1017382-72574421,Cannot find PD-W-TC-P-2009-000001,,,
 1017396-48632450,Cannot find PD-W-CT-P-2005-000003,,,
 1017456-44080985,Cannot find PD-W-TC-P-2009-000001,,,
 1017656-84788719,gpsku empty,CC-P-2006-000002,871S06,
 1017751-90297803,Cannot find PD-W-TC-P-2009-000001,,,
 1017870-51488958,gpsku empty,FL-P-2007-000002,8710SFL07,
 1017990-25212702,gpsku empty,IC-P-2006-000001,8700S06,
 1018210-28789261,gpsku empty,CC-P-2006-000005,8720S06,
 1018230-39896616,Cannot find PD-W-CT-P-2005-000003,,,
 1018361-30737303,Cannot find PD-M-TC-P-2009-000001,,,
 1018618-75816961,Cannot find PD-M-TC-P-2009-000001,,,
 1018696-79273689,Cannot find PD-M-TC-P-2009-000001,,,
 1018875-35680540,Cannot find PD-W-TC-P-2009-000001,,,
 1018997-97199934,Cannot find PD-W-TC-P-2009-000001,,,
 1019062-18707480,Cannot find PD-W-TC-P-2009-000001,,,
 1019065-61174743,Cannot find PD-W-TC-P-2009-000001,,,
 1019155-25796256,gpsku empty,IC-P-2009-000004,8720S09,
 1019231-54130159,gpsku empty,IC-P-2006-000016,8706S06,
 1019235-55416853,gpsku empty,IC-P-2003-000001,8700S03,
 1019612-12673950,Cannot find PD-W-TC-P-2009-000001,,,
 1020127-68575451,gpsku empty,IC-P-2009-000014,8780S09,
 1020936-32644900,Cannot find PD-W-FL-P-2004-000010,,,
 1021454-75663589,Cannot find PD-W-CT-P-2005-000003,,,
 1021519-24452142,gpsku empty,IC-P-2003-000016,8722S03,
 1021952-13420515,gpsku empty,CS-P-2003-000001,8723S03,
 1022599-25766106,gpsku empty,IC-P-2009-000006,8755S09,
 1022967-84241848,gpsku empty,CC-P-2009-000008,878S09,
 1023136-33978178,gpsku empty,IC-P-2009-000002,8710S09,
 1023343-27357197,gpsku empty,IC-P-2006-000002,8710S06,
 1023437-27202496,Cannot find PD-W-PR-P-2006-000007,,,
 1023914-22580071,gpsku empty,IC-P-2009-000002,8710S09,
 1024226-83105304,gpsku empty,FL-P-2007-000005,8755SFL07,
 1024359-69922872,gpsku mismatch,PD-W-SP-P-2009-000001,8760SP09,8700SP09
 1024387-16398319,gpsku empty,CC-P-2009-000001,870P09,
 1024401-10368474,gpsku empty,CC-P-2009-000001,870P09,
 1024597-80753713,Cannot find PD-M-IC-P-2000-000014,,,
 1024625-30520186,gpsku mismatch,PD-W-SP-P-2009-000006,,8760SP09
 1024711-52814717,gpsku empty,CC-P-2009-000006,8760S09,
 1025765-21889242,gpsku mismatch,PD-W-SP-P-2009-000001,8760SP09,8700SP09
 1025845-74588199,gpsku mismatch,PD-W-SP-P-2009-000001,8760SP09,8700SP09
 1026153-21479277,gpsku empty,CA-P-2010-000003,8701SCA10,
 1026273-63966723,Cannot find PD-W-CT-P-2005-000003,,,
 1027256-22737264,gpsku empty,CA-P-2010-000002,8712SCA10,
 1027440-96831723,gpsku empty,IC-P-2009-000003,8740S09,
